Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
,Yasuhito End?,,,Kyoto Purple Sanga,64,,,,,,,,,,,,,,,,,
,Yasuhito End?,,,Gamba Osaka,790,,,,,,,,,,,,,,,,,
,Yasuhito End?,,,Jubilo Iwata,72,,,,,,,,,,,,,,,,,
14,Javier Zanetti,"1,115",1992?2014,Talleres RE,33,,,,,,,,,,,,,,,,,
,Javier Zanetti,,,Banfield,66,,,,,,,,,,,,,,,,,
,Javier Zanetti,,,Inter Milan,858,,,,,,,,,,,,,,,,,
15,Pat Jennings,"1,105+",1961?1986,Newry United,?,,,,,,,,,,,,,,,,,
,Pat Jennings,,,Newry Town,?,,,,,,,,,,,,,,,,,
,Pat Jennings,,,Watford,52,,,,,,,,,,,,,,,,,
,Pat Jennings,,,Tottenham Hotspur,596,,,,,,,,,,,,,,,,,
,Pat Jennings,,,Arsenal,327,,,,,,,,,,,,,,,,,
16,Marcelinho Para°ba,"1,097+",1991?2020,Campinense,?,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Paraguaáuense,29,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Santos[ag],14,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Rio Branco,79,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,S?o Paulo,202,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Marseille,21,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Gràmio,23,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Hertha BSC,193,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Trabzonspor,22,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,VfL Wolfsburg,57,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Flamengo,25,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Coritiba,50,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Sport Recife,92,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Gràmio Barueri,19,,,,,,,,,,,,,,,,,
